n,k,mmb_items,ummb_items
7124575,218,11,7
7124575,357,13,8
7125007,156,13,7
7125855,40,8,6
7125855,42,8,6
7126287,236,12,7
7127439,39,8,5
7128347,49,9,5
7128779,51,10,5
7128779,291,14,8
7131356,46,9,5
7132572,49,9,5
7133380,47,10,5
7134564,43,9,6
7135429,49,11,5
7136357,46,10,6
7136901,45,12,5
7137333,104,12,6
7138197,42,10,5
7138693,43,12,5
7139253,40,9,5
7139685,102,13,7
7139685,284,13,7
7139685,344,13,7
7140155,38,9,5
7140587,129,12,7
7141203,46,9,5
7141635,360,13,9
7142067,293,14,8
7142375,129,12,7
7142375,279,14,8
7142495,143,11,7
7143055,191,12,8
7143055,369,12,8
7143647,216,10,7
7143647,346,12,8
7144759,46,8,5
7147785,45,11,5
7148905,48,10,6
7149626,40,9,5
7150050,378,13,8
7150474,77,12,6
7150906,310,13,7
7151338,254,14,8
7151770,237,14,8
7152413,44,9,5
7152837,50,11,5
7152837,118,11,7
7152837,192,11,7
7152837,216,14,8
7152837,260,14,8
7153381,38,11,6
7153381,74,11,6
7153381,152,12,7
7153381,170,12,7
7153381,422,14,8
7153381,476,14,8
7153989,56,11,5
7153989,176,12,7
7153989,186,12,7
7153989,475,15,9
7154293,176,13,7
7154293,248,14,7
7154957,140,13,6
7154957,304,14,9
7154957,347,14,9
7154957,381,14,9
7155565,340,13,7
7155565,450,16,9
7155565,456,16,9
7155565,490,16,9
7155565,578,16,9
7155565,604,16,9
7156173,380,13,8
7156173,572,15,9
7156173,595,15,9
7156675,199,13,8
7157347,429,14,8
7157931,40,8,4
7157931,103,11,6
7157931,515,15,8
7158539,343,13,9
7159056,516,13,9
7159728,117,10,6
7160320,270,17,8
7160320,350,17,8
7160320,504,17,8
7161120,44,9,6
7162596,43,10,6
7163052,144,11,6
7163476,16,6,3
7163476,305,13,7
7163476,313,13,7
7163819,70,11,6
7163819,335,14,8
7164699,46,9,5
7165123,51,10,5
7165123,212,13,8
7165123,315,13,8
7165563,213,11,7
7166123,42,8,4
7166204,48,10,5
7166556,81,9,5
7166996,24,9,5
7166996,115,12,6
7166996,345,16,8
7167468,49,11,6
7167468,97,11,6
7168068,141,11,7
7168068,547,14,8
7168705,40,11,5
7169265,402,13,8
7169265,428,13,8
7169857,97,11,7
7169857,529,14,9
7170449,191,12,8
7170449,429,15,9
7170978,29,9,4
7170978,464,14,9
7171658,336,14,8
7172458,44,10,6
7172890,360,14,9
7173367,286,12,8
7174031,331,12,8
7174639,529,13,9
7175695,44,8,5
7176123,109,10,6
7176555,300,13,7
7177723,41,10,5
7178152,113,10,6
7178152,208,13,8
7178880,40,12,5
7179312,93,10,6
7179312,107,10,6
7179312,158,11,6
7179312,248,13,7
7179736,411,13,8
7180168,381,12,8
7181801,47,11,6
7182233,140,12,6
7182665,9,5,2
7182665,173,12,7
7182891,148,12,6
7183099,150,13,7
7183539,44,8,5
7184443,43,9,5
7185035,48,11,5
7185272,163,11,7
7185928,49,10,5
7186680,40,9,5
7187104,346,12,8
7187536,257,12,7
7188675,47,10,5
7189299,42,8,5
7190031,30,8,5
7190479,353,13,8
7191327,37,9,6
7191759,164,10,7
7192183,216,11,7
7193307,43,9,5
7194667,42,8,4
7195099,238,13,8
7195531,386,13,8
7195963,92,10,6
7196387,103,11,7
7196387,346,13,8
7196387,376,13,8
7197415,42,10,6
7197839,8,7,3
7197839,170,12,8
7197839,267,12,8
7198271,190,10,7
7198271,220,11,7
7198703,111,10,6
7199726,40,7,4
7200222,43,8,5
7200654,125,11,6
7200654,161,12,8
7201086,100,9,6
7201518,267,13,8
7202099,33,8,5
7203723,46,11,5
7204393,41,8,4
7204833,72,10,6
7205265,210,12,8
7205913,45,10,5
7206978,48,11,5
7208266,35,9,4
7209130,38,8,4
7209562,321,14,7
7210226,45,9,5
7210666,225,14,8
7211098,42,10,5
7211098,188,13,7
7211098,256,14,7
7212041,38,9,4
7212473,10,8,4
7212473,26,9,5
7212473,80,11,6
7212473,238,13,8
7212473,336,13,8
7212473,398,13,8
7212905,14,8,4
7212905,422,16,9
7213801,47,11,6
7214437,40,10,6
7214437,44,10,6
7214861,421,14,9
7215293,16,9,4
7215293,208,13,8
7215293,289,13,8
7215293,295,13,8
7215733,320,14,7
7218862,42,7,4
7219294,75,8,5
7219294,200,11,7
7219726,394,15,8
7220158,288,12,8
7220806,39,10,5
7221230,181,12,7
7222374,40,9,6
7222806,200,14,7
7223238,126,11,7
7223238,392,13,8
7223764,38,9,5
7224196,230,12,8
7224196,336,12,8
7224196,426,13,9
7224828,40,10,5
7225540,35,9,4
7225781,132,12,6
7226405,13,7,3
7226405,75,11,6
7227077,40,11,5
7227509,298,14,7
7227941,128,12,6
7227941,184,14,7
7227941,254,14,7
7228162,12,8,3
7228162,179,15,7
7228578,14,8,3
7229130,121,11,7
7229722,305,15,9
7229722,399,15,9
7229722,409,15,9
7230322,267,12,7
7230322,567,14,9
7230913,282,12,8
7232361,38,8,4
7232793,231,14,7
7233480,40,8,4
7233912,281,11,7
7233912,335,11,7
7234344,325,13,9
7234776,377,14,8
7234776,385,14,8
7236035,44,10,5
7236467,75,10,6
7237027,42,10,6
7237459,60,9,5
7237459,413,15,9
7237686,30,8,5
7237886,114,13,6
7237886,172,14,7
7238350,25,7,4
7238350,51,9,5
7238782,186,10,7
7238782,196,10,7
7238782,257,11,7
7238782,269,11,7
7239246,15,7,4
7239246,108,11,7
7239246,150,11,7
7239246,428,13,8
7239846,366,13,8
7240459,51,11,5
7241043,31,9,5
7241043,53,9,5
7241043,343,15,9
7241043,571,15,9
7241643,19,8,4
7241643,128,11,6
7241643,262,14,8
7241643,477,16,9
7241643,600,16,9
7242235,57,10,5
7242235,151,14,7
7242235,199,14,7
7242459,41,9,5
7242459,105,11,7
7242459,197,11,7
7243683,16,7,3
7244115,342,15,9
7244539,11,6,3
7244539,73,12,6
7245806,51,10,6
7246382,44,7,4
7247239,49,10,5
7248063,35,11,5
7248495,38,8,5
7248495,66,9,6
7248495,68,9,6
7248927,310,14,8
7249351,176,11,7
7250593,42,10,6
7251409,43,9,5
7251873,28,9,4
7251873,42,10,6
7252566,46,9,5
7252998,267,17,8
7252998,291,17,8
7253478,201,12,7
7253910,38,9,5
7253910,238,13,8
7253910,364,13,8
7253910,366,13,8
7253910,429,15,9
7254546,45,9,5
7254978,73,11,7
7254978,383,13,8
7255810,46,12,5
7256242,124,11,6
7256242,166,11,6
7256242,430,14,8
7256743,88,10,6
7256743,140,10,6
7256743,174,13,8
7256743,216,13,8
7256743,262,13,8
7257351,37,8,4
7258215,45,9,6
7258647,328,15,8
7258647,415,15,8
7259158,50,9,5
7259590,114,11,7
7259590,140,11,7
7259590,158,11,7
7260014,233,12,7
7260574,45,8,5
7261006,183,11,7
7261581,60,11,5
7262349,42,9,4
7262781,124,10,6
7262781,142,11,6
7263373,109,12,6
7263373,157,13,8
7264027,39,9,5
7265051,43,9,5
7265619,41,9,5
7266179,43,11,5
7266276,134,12,7
7266772,46,9,5
7267564,47,11,6
7267996,69,10,5
7268428,271,13,7
7268663,20,7,4
7268663,225,12,7
7269335,79,9,5
7269335,271,14,8
7269335,357,14,8
7269935,225,13,7
7269935,449,14,8
7270535,59,10,5
7270535,173,12,8
7270535,469,13,8
7270535,510,13,8
7271434,45,11,5
7272010,6,5,2
7272010,40,9,4
7272450,307,18,8
7272450,361,18,8
7272914,264,13,8
7272914,366,13,8
7273512,68,10,6
7274104,576,13,8
7274696,202,13,8
7275296,86,9,6
7275296,278,11,7
7275296,412,12,9
7275296,535,12,9
7275815,428,14,9
7276487,270,13,8
7277079,12,6,4
7277079,148,12,6
7277679,30,8,5
7277679,90,9,6
7277679,474,14,8
7278202,501,14,8
7278282,7,5,2
7278874,443,15,9
7279474,516,14,9
7280074,251,13,8
7280074,393,13,8
7280074,498,15,9
7280590,215,13,8
7280590,502,15,9
7281270,258,13,7
7281854,307,12,8
7281854,381,12,8
7282454,446,14,9
7282982,450,14,9
7283054,128,12,7
