k,diff-to-upper-bound
889,1.6904296875
890,1.68994140625
891,1.689453125
892,1.68896484375
893,1.6884765625
894,1.68798828125
895,1.6875
896,1.68701171875
897,1.6865234375
898,1.68603515625
899,1.685546875
900,1.68505859375
901,1.6845703125
902,1.68408203125
903,1.68359375
904,1.68310546875
905,1.6826171875
906,1.68212890625
907,1.681640625
908,1.68115234375
909,1.6806640625
910,1.68017578125
911,1.6796875
912,1.67919921875
913,1.6787109375
914,1.67822265625
915,1.677734375
916,1.67724609375
917,1.6767578125
918,1.67626953125
919,1.67578125
920,1.67529296875
921,1.6748046875
922,1.67431640625
923,1.673828125
924,1.67333984375
925,1.6728515625
926,1.67236328125
927,1.671875
928,1.67138671875
929,1.6708984375
930,1.67041015625
931,1.669921875
932,1.66943359375
933,1.6689453125
934,1.66845703125
935,1.66796875
936,1.66748046875
937,1.6669921875
938,1.66650390625
939,1.666015625
940,1.66552734375
941,1.6650390625
942,1.66455078125
943,1.6640625
944,1.66357421875
945,1.6630859375
946,1.66259765625
947,1.662109375
948,1.66162109375
949,1.6611328125
950,1.66064453125
951,1.66015625
952,1.65966796875
953,1.6591796875
954,1.65869140625
955,1.658203125
956,1.65771484375
957,1.6572265625
958,1.65673828125
959,1.65625
960,1.65576171875
961,1.6552734375
962,1.65478515625
963,1.654296875
964,1.65380859375
965,1.6533203125
966,1.65283203125
967,1.65234375
968,1.65185546875
969,1.6513671875
970,1.65087890625
971,1.650390625
972,1.64990234375
973,1.6494140625
974,1.64892578125
975,1.6484375
976,1.64794921875
977,1.6474609375
978,1.64697265625
979,1.646484375
980,1.64599609375
981,1.6455078125
982,1.64501953125
983,1.64453125
984,1.64404296875
985,1.6435546875
986,1.64306640625
987,1.642578125
988,1.64208984375
989,1.6416015625
990,1.64111328125
991,1.640625
992,1.64013671875
993,1.6396484375
994,1.63916015625
995,1.638671875
996,1.63818359375
997,1.6376953125
998,1.63720703125
999,1.63671875
1000,1.63623046875
1001,1.6357421875
1002,1.63525390625
1003,1.634765625
1004,1.63427734375
1005,1.6337890625
1006,1.63330078125
1007,1.6328125
1008,1.63232421875
1009,1.6318359375
1010,1.63134765625
1011,1.630859375
1012,1.63037109375
1013,1.6298828125
1014,1.62939453125
1015,1.62890625
1016,1.62841796875
1017,1.6279296875
1018,1.62744140625
1019,1.626953125
1020,1.62646484375
1021,1.6259765625
1022,1.62548828125
1023,1.1875
1024,1.19189453125
1025,1.1962890625
1026,1.2001953125
1027,1.2041015625
1028,1.20751953125
1029,1.2109375
1030,1.21435546875
1031,1.2177734375
1032,1.220703125
1033,1.2236328125
1034,1.2265625
1035,1.2294921875
1036,1.232421875
1037,1.2353515625
1038,1.23828125
1039,1.2412109375
1040,1.24365234375
1041,1.24609375
1042,1.24853515625
1043,1.2509765625
1044,1.25341796875
1045,1.255859375
1046,1.25830078125
1047,1.2607421875
1048,1.26318359375
1049,1.265625
1050,1.26806640625
1051,1.2705078125
1052,1.27294921875
1053,1.275390625
1054,1.27783203125
1055,1.2802734375
1056,1.2822265625
1057,1.2841796875
1058,1.2861328125
1059,1.2880859375
1060,1.2900390625
1061,1.2919921875
1062,1.2939453125
1063,1.2958984375
1064,1.2978515625
1065,1.2998046875
1066,1.3017578125
1067,1.3037109375
1068,1.3056640625
1069,1.3076171875
1070,1.3095703125
1071,1.3115234375
1072,1.3134765625
1073,1.3154296875
1074,1.3173828125
1075,1.3193359375
1076,1.3212890625
1077,1.3232421875
1078,1.3251953125
1079,1.3271484375
1080,1.3291015625
1081,1.3310546875
1082,1.3330078125
1083,1.3349609375
1084,1.3369140625
1085,1.3388671875
1086,1.3408203125
1087,1.3427734375
1088,1.34423828125
1089,1.345703125
1090,1.34716796875
1091,1.3486328125
1092,1.35009765625
1093,1.3515625
1094,1.35302734375
1095,1.3544921875
1096,1.35595703125
1097,1.357421875
1098,1.35888671875
1099,1.3603515625
1100,1.36181640625
1101,1.36328125
1102,1.36474609375
1103,1.3662109375
1104,1.36767578125
1105,1.369140625
1106,1.37060546875
1107,1.3720703125
1108,1.37353515625
1109,1.375
1110,1.37646484375
1111,1.3779296875
1112,1.37939453125
1113,1.380859375
1114,1.38232421875
1115,1.3837890625
1116,1.38525390625
1117,1.38671875
1118,1.38818359375
1119,1.3896484375
1120,1.39111328125
1121,1.392578125
1122,1.39404296875
1123,1.3955078125
1124,1.39697265625
1125,1.3984375
1126,1.39990234375
1127,1.4013671875
1128,1.40283203125
1129,1.404296875
1130,1.40576171875
1131,1.4072265625
1132,1.40869140625
1133,1.41015625
1134,1.41162109375
1135,1.4130859375
1136,1.41455078125
1137,1.416015625
1138,1.41748046875
1139,1.4189453125
1140,1.42041015625
1141,1.421875
1142,1.42333984375
1143,1.4248046875
1144,1.42626953125
1145,1.427734375
1146,1.42919921875
1147,1.4306640625
1148,1.43212890625
1149,1.43359375
1150,1.43505859375
1151,1.4365234375
1152,1.4375
1153,1.4384765625
1154,1.439453125
1155,1.4404296875
1156,1.44140625
1157,1.4423828125
1158,1.443359375
1159,1.4443359375
1160,1.4453125
1161,1.4462890625
1162,1.447265625
1163,1.4482421875
1164,1.44921875
1165,1.4501953125
1166,1.451171875
1167,1.4521484375
1168,1.453125
1169,1.4541015625
1170,1.455078125
1171,1.4560546875
1172,1.45703125
1173,1.4580078125
1174,1.458984375
1175,1.4599609375
1176,1.4609375
1177,1.4619140625
1178,1.462890625
1179,1.4638671875
1180,1.46484375
1181,1.4658203125
1182,1.466796875
1183,1.4677734375
1184,1.46875
1185,1.4697265625
1186,1.470703125
1187,1.4716796875
1188,1.47265625
1189,1.4736328125
1190,1.474609375
1191,1.4755859375
1192,1.4765625
1193,1.4775390625
1194,1.478515625
1195,1.4794921875
1196,1.48046875
1197,1.4814453125
1198,1.482421875
1199,1.4833984375
1200,1.484375
1201,1.4853515625
1202,1.486328125
1203,1.4873046875
1204,1.48828125
1205,1.4892578125
1206,1.490234375
1207,1.4912109375
1208,1.4921875
1209,1.4931640625
1210,1.494140625
1211,1.4951171875
1212,1.49609375
1213,1.4970703125
